emoji,name,name_emotion,name_emotion_vec
🫠,melting face,neutral,"[0.001605468918569386, 0.004223999101668596, 0.007855163887143135, 0.012879785150289536, 0.005584104917943478, 0.0017753384308889508, 0.002519176574423909, 0.0018628829857334495, 0.0028814959805458784, 0.00839117169380188, 0.002844270085915923, 0.006747635081410408, 0.0018840975826606154, 0.00197872007265687, 0.005212351679801941, 0.000559865147806704, 0.0023157012183219194, 0.0029210280627012253, 0.002490239217877388, 0.0014738404424861073, 0.0016970555298030376, 0.00042604721966199577, 0.006230671890079975, 0.0005628877552226186, 0.0009993298444896936, 0.027721073478460312, 0.002184932818636298, 0.936465322971344]"
😉,winking face,neutral,"[0.009242291562259197, 0.004375149961560965, 0.0028061808552592993, 0.005406797863543034, 0.011244052089750767, 0.000982786645181477, 0.0014989095507189631, 0.0013185612624511123, 0.0017364638624712825, 0.0029888872522860765, 0.0011343127116560936, 0.002384606981649995, 0.0013200539397075772, 0.018452666699886322, 0.003641951596364379, 0.0015975275309756398, 0.0008504611905664206, 0.011317221447825432, 0.0031056629959493876, 0.0008308154065161943, 0.0022077395115047693, 0.0016943459631875157, 0.007328649517148733, 0.000882812833879143, 0.0005361417424865067, 0.002513321815058589, 0.005169040523469448, 0.935979962348938]"
😊,smiling face with smiling eyes,joy,"[0.2070884257555008, 0.08655812591314316, 0.001138536143116653, 0.0030293164309114218, 0.06595515459775925, 0.007136150263249874, 0.001045023906044662, 0.0010050800628960133, 0.0014900132082402706, 0.0015026688342913985, 0.0017391671426594257, 0.000604529632255435, 0.0006669092108495533, 0.015879027545452118, 0.0007594588678330183, 0.0034629132132977247, 0.0011139733251184225, 0.5931954979896545, 0.012116151861846447, 0.0008502844721078873, 0.004966155160218477, 0.00993224885314703, 0.0075636208057403564, 0.010379059240221977, 0.000604421307798475, 0.0025747516192495823, 0.0011727912351489067, 0.1349041908979416]"
😇,smiling face with halo,neutral,"[0.027708878740668297, 0.010417837649583817, 0.0017612323863431811, 0.005063235759735107, 0.02154974266886711, 0.0013039724435657263, 0.0008327434188686311, 0.0005745123489759862, 0.0014404139947146177, 0.005937268957495689, 0.002168566919863224, 0.004404911305755377, 0.0018635870655998588, 0.004191910848021507, 0.0033233831636607647, 0.001151244854554534, 0.0013033479917794466, 0.0052768271416425705, 0.004008803982287645, 0.0007405105861835182, 0.0014078551903367043, 0.001534310053102672, 0.011281588114798069, 0.0010421035112813115, 0.0008989143534563482, 0.007888837717473507, 0.0019432025728747249, 0.895233690738678]"
🥰,smiling face with hearts,neutral,"[0.019665870815515518, 0.0105849364772439, 0.0030100687872618437, 0.006712079513818026, 0.022152168676257133, 0.001573316054418683, 0.0007512648007832468, 0.0006053535034880042, 0.00202965852804482, 0.006566808559000492, 0.001691165380179882, 0.0038017118349671364, 0.0021004474256187677, 0.010548952035605907, 0.00456048222258687, 0.000775745022110641, 0.002010135678574443, 0.017058905214071274, 0.0070972447283566, 0.001154781668446958, 0.0012960610911250114, 0.0028254620265215635, 0.013537909835577011, 0.001707885297946632, 0.0009005307219922543, 0.00999302975833416, 0.003126881318166852, 0.9082474708557129]"
😍,smiling face with heart-eyes,neutral,"[0.03245279937982559, 0.009691433049738407, 0.0014708071248605847, 0.0036712579894810915, 0.0421113595366478, 0.0020637959241867065, 0.0009129524696618319, 0.0007141153910197318, 0.001501210848800838, 0.004216150846332312, 0.0013491007266566157, 0.0025851659011095762, 0.0012240835931152105, 0.005311255343258381, 0.0029354023281484842, 0.0007938482449389994, 0.0013923011720180511, 0.009320463053882122, 0.00597668532282114, 0.0008464325219392776, 0.0015270422445610166, 0.0018631693674251437, 0.014904438517987728, 0.0012986462097615004, 0.0007790341624058783, 0.007233641110360622, 0.0017005112022161484, 0.8924455642700195]"
🤩,star-struck,neutral,"[0.01548762246966362, 0.0010673119686543941, 0.0016118062194436789, 0.0038229813799262047, 0.012459511868655682, 0.0008136891410686076, 0.0021546243224292994, 0.0024415303487330675, 0.0008037707302719355, 0.004603824112564325, 0.0029668472707271576, 0.0018279239302501082, 0.0012482574675232172, 0.012271501123905182, 0.0020734930876642466, 0.0016557422932237387, 0.0006558516179211438, 0.004908814560621977, 0.002698163501918316, 0.0005139976274222136, 0.0015716144116595387, 0.0011186209740117192, 0.004478071350604296, 0.0006820032722316682, 0.00045975137618370354, 0.0023543245624750853, 0.006402680650353432, 0.9222950339317322]"
😘,face blowing a kiss,neutral,"[0.005265750456601381, 0.004921338055282831, 0.003835823852568865, 0.005278666969388723, 0.009102517738938332, 0.0024721587542444468, 0.0023584722075611353, 0.0019695116207003593, 0.003886166960000992, 0.002874473575502634, 0.0012205532984808087, 0.003637161571532488, 0.0014122764114290476, 0.007577369920909405, 0.0026078757364302874, 0.0025143895763903856, 0.0011194944381713867, 0.006686830427497625, 0.009430964477360249, 0.0005957355024293065, 0.0023405454121530056, 0.0008893883205018938, 0.00475288275629282, 0.0006720786332152784, 0.0012480041477829218, 0.003627944039180875, 0.00210685096681118, 0.9541009068489075]"
😗,kissing face,neutral,"[0.007007623091340065, 0.003228197805583477, 0.002818185603246093, 0.003974866587668657, 0.013739231042563915, 0.009585347957909107, 0.0018379671964794397, 0.0017504752613604069, 0.012258173897862434, 0.0023538891691714525, 0.0011195712722837925, 0.0034224241971969604, 0.00083280133549124, 0.007978557609021664, 0.0016767722554504871, 0.0040727597661316395, 0.0012252249289304018, 0.01546467188745737, 0.16921737790107727, 0.0006773981731384993, 0.0021779765374958515, 0.0007444623042829335, 0.0033927049953490496, 0.0009993626736104488, 0.0017236784333363175, 0.0056663816794753075, 0.000854834564961493, 0.7545806765556335]"
☺️,smiling face,neutral,"[0.06186084821820259, 0.012078442610800266, 0.001271572313271463, 0.003691223682835698, 0.03767703101038933, 0.0017440394731238484, 0.000517032400239259, 0.0004366787034086883, 0.001476453267969191, 0.003919082228094339, 0.0012086804490536451, 0.0028389005456119776, 0.0012178198667243123, 0.008865722455084324, 0.002650297712534666, 0.0010075070895254612, 0.0012234371388331056, 0.021125445142388344, 0.005042628850787878, 0.0008177512791007757, 0.0020392469596117735, 0.004012209828943014, 0.01180833950638771, 0.0023337111342698336, 0.0006510224775411189, 0.00522198062390089, 0.002126989420503378, 0.8137782216072083]"
😚,kissing face with closed eyes,neutral,"[0.004922846332192421, 0.0036701613571494818, 0.0030925823375582695, 0.004941981751471758, 0.016844946891069412, 0.00440686522051692, 0.001934449770487845, 0.001878394978120923, 0.007499846629798412, 0.0026334829162806273, 0.0013290098868310452, 0.0039640674367547035, 0.0008341966895386577, 0.005099569447338581, 0.0018790684407576919, 0.0017256538849323988, 0.001004562247544527, 0.00618570763617754, 0.03790811076760292, 0.0005311784916557372, 0.0020081563852727413, 0.0005731908604502678, 0.004926062189042568, 0.000649822992272675, 0.0011791482102125883, 0.0046563963405787945, 0.0009276624768972397, 0.9113285541534424]"
😙,kissing face with smiling eyes,joy,"[0.10168559104204178, 0.03381865471601486, 0.0015441094292327762, 0.003043500240892172, 0.037178147584199905, 0.008819637820124626, 0.0008339618798345327, 0.0008293295977637172, 0.0020870117004960775, 0.0014538128161802888, 0.001463911379687488, 0.0007535147597081959, 0.0005967723554931581, 0.013990950770676136, 0.0006228196434676647, 0.0034758744295686483, 0.0012021450093016028, 0.5233625173568726, 0.06451400369405746, 0.0006607329123653471, 0.002658046782016754, 0.00528867868706584, 0.005051198415458202, 0.006200293079018593, 0.0008023171685636044, 0.0037359276320785284, 0.0008243410848081112, 0.2516205608844757]"
🥲,smiling face with tear,neutral,"[0.004024737048894167, 0.016126500442624092, 0.0026221179869025946, 0.008117306977510452, 0.010797237046062946, 0.0020090416073799133, 0.0016186406137421727, 0.001011035987176001, 0.0023080077953636646, 0.010783056728541851, 0.0026137984823435545, 0.007523570209741592, 0.003167160553857684, 0.0018152851844206452, 0.003560559591278434, 0.0008388299029320478, 0.003900828305631876, 0.005049286875873804, 0.005870289634913206, 0.0016597779467701912, 0.0009884098544716835, 0.0006035008118487895, 0.014232639223337173, 0.0010240653064101934, 0.002104169921949506, 0.0835391953587532, 0.001384440460242331, 0.8032889366149902]"
😋,face savoring food,admiration,"[0.1878117322921753, 0.0020278377924114466, 0.0023158027324825525, 0.006042159162461758, 0.03750740364193916, 0.002548416843637824, 0.000581936037633568, 0.0007502313819713891, 0.005040598101913929, 0.004660497419536114, 0.0014518414391204715, 0.005719718057662249, 0.0014173418749123812, 0.05053112283349037, 0.0027819618117064238, 0.002849859418347478, 0.0017186898039653897, 0.123736672103405, 0.08826792985200882, 0.0010868561221286654, 0.0012420216808095574, 0.010477793402969837, 0.007560650818049908, 0.004164157435297966, 0.0006431564688682556, 0.006431541405618191, 0.0050624641589820385, 0.1779092401266098]"
😛,face with tongue,neutral,"[0.003225403605028987, 0.0027152076363563538, 0.0036396579816937447, 0.007401896640658379, 0.010927804745733738, 0.0010425816290080547, 0.003308591665700078, 0.0021284755785018206, 0.0011182837188243866, 0.003179876832291484, 0.0024129326920956373, 0.002965277759358287, 0.001181232393719256, 0.0028080465272068977, 0.00272200396284461, 0.0008313372964039445, 0.0006319874664768577, 0.0022056198213249445, 0.0012284519616514444, 0.0005721096531488001, 0.001706041512079537, 0.00045814472832717, 0.006635596510022879, 0.00040397554403170943, 0.0004493486194405705, 0.002813008613884449, 0.001754556898958981, 0.9656673073768616]"
😜,winking face with tongue,neutral,"[0.00593115109950304, 0.010240054689347744, 0.0029466780833899975, 0.005391902290284634, 0.01324055902659893, 0.000920788967050612, 0.0021583037450909615, 0.0022375858388841152, 0.0023040189407765865, 0.002650938229635358, 0.0012025365140289068, 0.004615038633346558, 0.0017727703088894486, 0.011476513929665089, 0.002867495408281684, 0.0005549618508666754, 0.0007133070612326264, 0.008142885752022266, 0.00822875089943409, 0.0006140910554677248, 0.0019646603614091873, 0.0010015662992373109, 0.006754311267286539, 0.0005531386123038828, 0.0006867806077934802, 0.002350064693018794, 0.0033207591623067856, 0.9281841516494751]"
🤪,zany face,neutral,"[0.004208995960652828, 0.0034987935796380043, 0.004289800766855478, 0.008256622590124607, 0.010254398919641972, 0.0009767094161361456, 0.0026649185456335545, 0.0019783973693847656, 0.0011088912142440677, 0.0029183642473071814, 0.0027004340663552284, 0.0029225728940218687, 0.0009679865906946361, 0.0029005669057369232, 0.0019620994571596384, 0.0006646503461524844, 0.0005183486500754952, 0.0024618743918836117, 0.0015272828750312328, 0.0004155842761974782, 0.0016076526371762156, 0.00044417730532586575, 0.004822864662855864, 0.00032844868837855756, 0.0003629220591392368, 0.00233627506531775, 0.0013113056775182486, 0.9660218358039856]"
😝,squinting face with tongue,neutral,"[0.002451726235449314, 0.007494617253541946, 0.002928023226559162, 0.007847590371966362, 0.008803063072264194, 0.001057745423167944, 0.0034652771428227425, 0.002122069476172328, 0.0012652358273044229, 0.004179658833891153, 0.0028781332075595856, 0.004267701413482428, 0.0016184664564207196, 0.00226399558596313, 0.004399060271680355, 0.0005348047707229853, 0.0007477193721570075, 0.0020532940980046988, 0.0009254588512703776, 0.0009105990175157785, 0.0017174507956951857, 0.0003790695045609027, 0.007613730616867542, 0.00039603287586942315, 0.0005916288355365396, 0.004758326802402735, 0.001556479837745428, 0.9484714865684509]"
🤑,money-mouth face,neutral,"[0.0026788103859871626, 0.001947691896930337, 0.004230663180351257, 0.014160320162773132, 0.01113517303019762, 0.0010312972590327263, 0.0015660602366551757, 0.000975359755102545, 0.0008563210722059011, 0.0049307928420603275, 0.006125854793936014, 0.0030032319482415915, 0.0011221017921343446, 0.0014267226215451956, 0.0013680376578122377, 0.0011113070650026202, 0.0005011907778680325, 0.001408012700267136, 0.0007460943888872862, 0.000349766225554049, 0.001572783337906003, 0.0003705981362145394, 0.005960517562925816, 0.0003898771246895194, 0.00047222294961102307, 0.003024546429514885, 0.0009505778434686363, 0.9596024751663208]"
🤗,smiling face with open hands,neutral,"[0.028603944927453995, 0.021927641704678535, 0.0018023091834038496, 0.0049742222763597965, 0.022941691800951958, 0.0020347977988421917, 0.0007277035620063543, 0.0006323577836155891, 0.0017046566354110837, 0.00430309446528554, 0.0014326388482004404, 0.0035682872403413057, 0.0016668688040226698, 0.006058021914213896, 0.002484676893800497, 0.0007538523059338331, 0.0012503999751061201, 0.012295186519622803, 0.006943982560187578, 0.0007469886331818998, 0.001465674489736557, 0.0018839853582903743, 0.009706569835543633, 0.0012757423100993037, 0.0008717813179828227, 0.00627066008746624, 0.002006012946367264, 0.8738271594047546]"
🤭,face with hand over mouth,neutral,"[0.0030906524043530226, 0.002538626315072179, 0.0031822870951145887, 0.007337458431720734, 0.011397710070014, 0.001074314466677606, 0.002818913431838155, 0.001832701382227242, 0.0012348319869488478, 0.0035438768099993467, 0.0034489822573959827, 0.00259490218013525, 0.0009777205996215343, 0.0022251447662711143, 0.0019607096910476685, 0.001054949825629592, 0.000557212857529521, 0.001841150689870119, 0.0011606235057115555, 0.00043383907177485526, 0.0019002326298505068, 0.0003821904247161001, 0.005806136876344681, 0.0003616970789153129, 0.00046985980588942766, 0.0027297025080770254, 0.00121063063852489, 0.9685373902320862]"
🫢,face with open eyes and hand over mouth,neutral,"[0.0030121069867163897, 0.0025308101903647184, 0.0025503847282379866, 0.006568822078406811, 0.012808714993298054, 0.0009454447426833212, 0.003478904953226447, 0.0023028694558888674, 0.0011890088208019733, 0.003141605295240879, 0.0026516090147197247, 0.002772802719846368, 0.0010138859506696463, 0.001882181502878666, 0.0020751245319843292, 0.0008011047029867768, 0.0005563218728639185, 0.0014638598076999187, 0.0011084428988397121, 0.00044701917795464396, 0.0017149550840258598, 0.0003299208474345505, 0.0069409580901265144, 0.00033961699227802455, 0.0004640900588128716, 0.0028931235428899527, 0.0012572237756103277, 0.9622373580932617]"
🫣,face with peeking eye,neutral,"[0.0036663832142949104, 0.0022032042033970356, 0.002403924474492669, 0.005733477417379618, 0.013363695703446865, 0.0010479949414730072, 0.002947853645309806, 0.001607022830285132, 0.0010729371570050716, 0.003609065432101488, 0.0031834973488003016, 0.002495835069566965, 0.0009998069144785404, 0.002335537225008011, 0.002440693089738488, 0.0010929747950285673, 0.0005984443123452365, 0.0019453410059213638, 0.001198678626678884, 0.0005216964636929333, 0.001822656486183405, 0.0004335186677053571, 0.007328080013394356, 0.0004240100097376853, 0.0004953659372404218, 0.003049832070246339, 0.001330411876551807, 0.9654393792152405]"
🤫,shushing face,neutral,"[0.002221825998276472, 0.0070686363615095615, 0.010876038111746311, 0.029582461342215538, 0.010105892084538937, 0.0013614161871373653, 0.0020701992325484753, 0.0011738104512915015, 0.0009458555141463876, 0.00534885423257947, 0.0064589837566018105, 0.014642126858234406, 0.010177534073591232, 0.0013566500274464488, 0.003367674769833684, 0.0013048553373664618, 0.0007500819629058242, 0.0013550855219364166, 0.0011561419814825058, 0.0006355269579216838, 0.001176283578388393, 0.0006246167467907071, 0.0067579299211502075, 0.0004913908196613193, 0.001139341271482408, 0.003080987138673663, 0.0015234664315357804, 0.9173072576522827]"
🤔,thinking face,neutral,"[0.0029239668510854244, 0.001928165671415627, 0.002991053508594632, 0.008312688209116459, 0.012562617659568787, 0.0008883680566214025, 0.0033885559532791376, 0.0017766492674127221, 0.0008022180991247296, 0.002919516060501337, 0.0030187058728188276, 0.0020276913419365883, 0.0008473352645523846, 0.002089219633489847, 0.001784274005331099, 0.0009546035435050726, 0.00042897716048173606, 0.001565581071190536, 0.0008683283813297749, 0.00043074574205093086, 0.0018790593603625894, 0.0003556331794243306, 0.007759463973343372, 0.00033479175181128085, 0.00034585408866405487, 0.0019102442311123013, 0.0014116389211267233, 0.9652270674705505]"
🫡,saluting face,neutral,"[0.0034192055463790894, 0.0021566194482147694, 0.003094905987381935, 0.007615337148308754, 0.011842039413750172, 0.0009622465004213154, 0.0023798313923180103, 0.0014118346152827144, 0.001004429766908288, 0.004484409000724554, 0.004784742370247841, 0.0031978581100702286, 0.0011931542539969087, 0.00200528372079134, 0.002050840063020587, 0.0010798325529322028, 0.0005978736444376409, 0.001785710221156478, 0.00114941387437284, 0.000435568654211238, 0.0015490243677049875, 0.0004112129390705377, 0.005629701539874077, 0.0003996641607955098, 0.0005248734378255904, 0.0033494888339191675, 0.0011298831086605787, 0.9643738865852356]"
🤐,zipper-mouth face,neutral,"[0.003538510063663125, 0.0022774292156100273, 0.003130652941763401, 0.007866651751101017, 0.011616508476436138, 0.0009431366343051195, 0.0026360282208770514, 0.0015355320647358894, 0.0009867228800430894, 0.0036569591611623764, 0.004782042000442743, 0.0025752552319318056, 0.0009291254682466388, 0.0023925628047436476, 0.0016472217394039035, 0.001231501461006701, 0.000500418886076659, 0.0020614766981452703, 0.0010933595476672053, 0.0003774660872295499, 0.0017755740555003285, 0.000417291303165257, 0.005670945625752211, 0.0003885414043907076, 0.00041312133544124663, 0.002341305138543248, 0.0011995540698990226, 0.9684796929359436]"
🤨,face with raised eyebrow,neutral,"[0.0033324032556265593, 0.006789487786591053, 0.003440328175202012, 0.009439423680305481, 0.010357173159718513, 0.0011755124432966113, 0.002793337684124708, 0.001987426308915019, 0.0008394875330850482, 0.0029807959217578173, 0.0018922500312328339, 0.002903692191466689, 0.002122655976563692, 0.0036916460376232862, 0.003742004046216607, 0.0007473410805687308, 0.0006785137229599059, 0.0034486381337046623, 0.0010065727401524782, 0.0009598342585377395, 0.0014789277920499444, 0.0006705153500661254, 0.009394812397658825, 0.0006206668331287801, 0.0004576863721013069, 0.0026069888845086098, 0.0023426476400345564, 0.953889012336731]"
😐,neutral face,neutral,"[0.004213626962155104, 0.0012897177366539836, 0.0017330256523564458, 0.005309376399964094, 0.03489300236105919, 0.0008039142703637481, 0.0031211194582283497, 0.001577818882651627, 0.0007799519808031619, 0.0023597280960530043, 0.0033141118474304676, 0.0019038490718230605, 0.0004899975028820336, 0.001480054808780551, 0.0009447599295526743, 0.0007526230183430016, 0.00028720818227156997, 0.0012965722708031535, 0.0016414897982031107, 0.0002574785612523556, 0.0017925254069268703, 0.00030130756204016507, 0.007102465722709894, 0.00032393052242696285, 0.0002711835550144315, 0.0014138433616608381, 0.0006710311863571405, 0.9562426209449768]"
😑,expressionless face,neutral,"[0.0018537829164415598, 0.0017537777312099934, 0.004850689321756363, 0.017192872241139412, 0.008871246129274368, 0.0006031092489138246, 0.003573531750589609, 0.0017605257453396916, 0.0006649151328019798, 0.009963681921362877, 0.011062395758926868, 0.004009847529232502, 0.0017565572634339333, 0.0008958925027400255, 0.0018613445572555065, 0.0005426644929684699, 0.000678383104968816, 0.0009799975669011474, 0.0006797716487199068, 0.0004885290982201695, 0.0010622567497193813, 0.00023182739096228033, 0.007175954058766365, 0.00029814059962518513, 0.0005224740016274154, 0.006542031653225422, 0.0011505191214382648, 0.9438647031784058]"
😶,face without mouth,neutral,"[0.0034431267995387316, 0.002370943082496524, 0.0040331389755010605, 0.00838515069335699, 0.009969675913453102, 0.0009588621906004846, 0.0032049883157014847, 0.0019148342544212937, 0.0010851785773411393, 0.003902023658156395, 0.0038178779650479555, 0.0032324076164513826, 0.0011818435741588473, 0.002165617886930704, 0.0027086883783340454, 0.0009453506208956242, 0.000636290991678834, 0.0017976732924580574, 0.0011450785677880049, 0.0005248449160717428, 0.001622664975002408, 0.0004022874927613884, 0.005999559070914984, 0.00036736816400662065, 0.00044976366916671395, 0.00316288648173213, 0.0014937764499336481, 0.9666963219642639]"
🫥,dotted line face,neutral,"[0.0034428222570568323, 0.0016357959248125553, 0.002145670587196946, 0.006566233467310667, 0.0165123101323843, 0.0011406379053369164, 0.002466226229444146, 0.0011994341621175408, 0.0010627658339217305, 0.003991593606770039, 0.005017337389290333, 0.0019922005012631416, 0.0007434364524669945, 0.0019557869527488947, 0.0014160904102027416, 0.0010706884786486626, 0.0004549289296846837, 0.0019527985714375973, 0.001437133876606822, 0.00039770302828401327, 0.001960644032806158, 0.00039329490391537547, 0.007102377247065306, 0.00044061403605155647, 0.00042574742110446095, 0.002381653757765889, 0.0008147272164933383, 0.9677581787109375]"
😶‍🌫️,face in clouds,neutral,"[0.0026372242718935013, 0.0018347278237342834, 0.002443725010380149, 0.006411745212972164, 0.01105631422251463, 0.0011422090465202928, 0.005380613729357719, 0.0024639901239424944, 0.0011494954815134406, 0.003432181430980563, 0.003604924539104104, 0.0019467562669888139, 0.0007420254405587912, 0.0020475871860980988, 0.002180269919335842, 0.000923998944927007, 0.0004877873871009797, 0.0016927819233387709, 0.0010231146588921547, 0.0005430530873127282, 0.002410179702565074, 0.00031213072361424565, 0.006645058747380972, 0.0003411532088648528, 0.00039347735582850873, 0.0023742951452732086, 0.0012583127245306969, 0.9693445563316345]"
😏,smirking face,neutral,"[0.18756426870822906, 0.011416902765631676, 0.001795973745174706, 0.005525841377675533, 0.02108532004058361, 0.0005766749382019043, 0.002361912513151765, 0.0029795956797897816, 0.001331467879936099, 0.0028101729694753885, 0.0010839790338650346, 0.005616330541670322, 0.001949674915522337, 0.02185637876391411, 0.004827579017728567, 0.0012157962191849947, 0.0008646848727948964, 0.005925423465669155, 0.003523845225572586, 0.0007012304849922657, 0.001416501123458147, 0.002830900251865387, 0.010113640688359737, 0.0007999506196938455, 0.00030984653858467937, 0.0018894243985414505, 0.01588793657720089, 0.7196418642997742]"
